shape,confidence,dominant_color,mean_bgr,area,perimeter,centroid_x,centroid_y,bbox_x,bbox_y,bbox_w,bbox_h,orientation_deg,sides,aspect_ratio,circularity
polygon,0.275,mixed,"(255.0, 255.0, 0.0)",1030.5,712.7279216051102,356,383,245,308,177,104,75.18,8,1.7019230769230769,0.025492375930947844
polygon,0.282,red,"(121.2, 0.2, 133.8)",3802.0,1221.5391038656235,245,319,169,242,195,133,78.72,10,1.3383458646616542,0.0320189604902371
circle,0.902,mixed,"(255.0, 255.0, 0.0)",8024.0,334.3919153213501,104,281,54,231,101,101,0.0,8,1.0,0.9017564270784713
polygon,0.276,green,"(254.7, 255.0, 0.3)",1116.5,737.7228689193726,369,175,285,161,227,79,0.0,6,2.8734177215189876,0.025779951644662718
pentagon,0.85,blue,"(255.0, 0.6, 0.6)",2303.0,193.68123865127563,127,119,98,89,60,57,5.22,5,1.0526315789473684,0.7714871454137096
pentagon,0.85,mixed,"(255.0, 255.0, 0.1)",3613.0,240.3086552619934,282,55,246,17,74,71,2.36,5,1.0422535211267605,0.7862107889290959
